crosswalk_id,district,address,crosswalk_type,latitude,longitude,has_pedestrian_light,has_audio_signal,has_push_button,is_raised_crosswalk,has_traffic_safety_detail,accessibility_score,route_recommendation_tier,support_evidence,nearest_audio_signal_id,nearest_audio_signal_distance_m,nearest_push_button_id,nearest_push_button_distance_m,data_reference_date,coordinate_note
06-0000004501,동작구,동작구 신대방동 344-95도,일단(화살표없음),37.4952587,126.9273124,Y,Y,Y,Y,Y,8,preferred,"보행등, 음향신호기, 보행자작동신호기, 고원식횡단보도, 교통안전시설 상세",24-0000006183,10.5,29-0000000309,4.1,2026-03-20,source_columns_swapped_and_normalized
06-0000006558,동작구,동작구 흑석동 340-10 도,일단(화살표없음),37.50565558,126.9610051,Y,Y,Y,Y,Y,8,preferred,"보행등, 음향신호기, 보행자작동신호기, 고원식횡단보도, 교통안전시설 상세",,,29-0000001162,10.3,2026-03-20,source_columns_swapped_and_normalized
06-0000019001,동작구,동작구 대방동 466-55도,이단(화살표있음),37.51096375,126.9268394,Y,Y,Y,Y,Y,8,preferred,"보행등, 음향신호기, 보행자작동신호기, 고원식횡단보도, 교통안전시설 상세",,,29-0000000351,3.7,2026-03-20,source_columns_swapped_and_normalized
06-0000019002,동작구,동작구 대방동 466-55도,이단(화살표있음),37.51092738,126.9265078,Y,Y,Y,Y,Y,8,preferred,"보행등, 음향신호기, 보행자작동신호기, 고원식횡단보도, 교통안전시설 상세",,,29-0000000349,2.2,2026-03-20,source_columns_swapped_and_normalized
06-0000048046,동작구,동작구 흑석동 340-10 도,이단(화살표있음),37.50550666,126.9609593,Y,Y,Y,Y,Y,8,preferred,"보행등, 음향신호기, 보행자작동신호기, 고원식횡단보도, 교통안전시설 상세",,,29-0000001162,25.3,2026-03-20,source_columns_swapped_and_normalized
06-0000003010,동작구,동작구 사당동 712-14도,이단(화살표있음),37.48392922,126.9725143,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002173,5.6,29-0000000320,5.9,2026-03-20,source_columns_swapped_and_normalized
06-0000003951,동작구,동작구 사당동 산32-82 도,이단(화살표있음),37.48126427,126.9659855,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",,,29-0000000347,6.4,2026-03-20,source_columns_swapped_and_normalized
06-0000004393,동작구,동작구 신대방동 700-2도,이단(화살표있음),37.48755531,126.9085169,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000000085,9.3,29-0000000316,6.6,2026-03-20,source_columns_swapped_and_normalized
06-0000004394,동작구,동작구 신대방동 700-2도,이단(화살표있음),37.48709883,126.9099609,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002208,3.2,29-0000000312,4.0,2026-03-20,source_columns_swapped_and_normalized
06-0000004866,동작구,동작구 신대방동 700도,이단(화살표있음),37.48812851,126.9075348,Y,Y,Y,N,Y,7,preferred,"보행등, 음향신호기, 보행자작동신호기, 교통안전시설 상세",24-0000002443,11.0,29-0000000105,7.2,2026-03-20,source_columns_swapped_and_normalized
