facility_kind,facility_id,pole_id,direction_degrees,install_date,replace_date,projected_x,projected_y,state_code,display_code,work_code,source_coordinate_system
audio_signal,24-0000019810,02-0000220951,,20221121,20221121,202410.75432,540397.0174,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000000670,02-0000106188,180.0,20030101,20030101,212241.66581,544882.84452,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000000670,02-0000106188,180.0,2003년 1차,2003년 1차,212241.66581,544882.84452,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000005083,02-0000099691,180.0,20081219,20110602,211026.14206,550477.99333,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000008419,02-0000173760,135.0,20120330,20120330,203111.06551,546244.27713,1.0,1,6,seoul_projected_xy_unconverted
audio_signal,24-0000014235,02-0000015572,180.0,,,198011.65,541897.14374,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000022722,02-0000132684,,,,,,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000009957,02-0000175540,180.0,20130621,20230429,195031.96057,548929.64086,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000001691,02-0000071336,180.0,20070601,20070601,202064.22296,552065.82217,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000005555,02-0000085319,180.0,20080101,20100610,204845.0311,561471.30725,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000005555,02-0000085319,180.0,20080101,20090821,204845.0311,561471.30725,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000005555,02-0000085319,180.0,20120203,20120203,204845.0311,561471.30725,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000005554,02-0000085320,180.0,20080101,20100610,204886.5311,561475.4958,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000005554,02-0000085320,180.0,20080101,20090821,204886.5311,561475.4958,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000005554,02-0000085320,180.0,20120203,20120203,204886.5311,561475.4958,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000003146,02-0000085321,180.0,20090313,20090313,204898.3436,561492.47565,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000003146,02-0000085321,180.0,20070601,20070601,204898.3436,561492.47565,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000003146,02-0000085321,180.0,20090313,20090313,204898.3436,561492.47565,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000003147,02-0000085323,180.0,20070601,20070601,204888.80029,561519.77011,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000003151,02-0000085324,180.0,20090313,20090313,204871.81094,561515.77772,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000003151,02-0000085324,180.0,20070601,20070601,204871.81094,561515.77772,1.0,1,4,seoul_projected_xy_unconverted
audio_signal,24-0000003115,02-0000085361,180.0,20090313,20090313,204841.40605,561520.00123,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000003115,02-0000085361,180.0,20070601,20070601,204841.40605,561520.00123,1.0,1,4,seoul_projected_xy_unconverted
