center_name,road_address,lot_address,latitude,longitude,reservation_phone,app_service_name,weekday_reservation_start,weekday_reservation_end,weekday_vehicle_start,weekday_vehicle_end,service_area_local,service_area_outside,target_users,fare,manager,manager_phone,data_reference_date,serves_seoul,is_located_in_seoul
강남세움복지관,서울특별시 강남구 광평로60길 22,서울특별시 강남구 수서동 721,37.48698084,127.106927,02-2184-8707,없음,00:00,23:59,07:30,17:21,강남구 관내,해당사항 없음,장애인+노약자+임산부,0,강남세움복지관,02-2184-8707,2025-06-11,Y,Y
(사)강원특별자치도지체장애인협회 양양군지회,강원특별자치도 양양군 양양읍 양양로 9-5,강원특별자치도 양양군 양양읍 연창리 203-5,38.077844,128.627485,1577-2014,강원특별자치도 광역 교통약자,09:00,18:00,07:00,22:00,양양군 전역,강원특별자치도 및 서울(병원 이용 시),장애정도가 심한장애인+ 장애정도가 심하지 않은장애인(의사진단서)+만65세이상노약자(의사진단서첨부)+교통약자를 동반하는 가족 및 보호자,기본요금 1100원(4km) 이후 1km당 100원,강원특별자치도 양양군 전략교통과,033-670-2256,2024-11-26,Y,N
(사)한국시각장애인연합회 양양군지회,강원특별자치도 양양군 양양읍 양양로 9-5,강원특별자치도 양양군 양양읍 연창리 203-5,38.077844,128.627485,1577-2014,강원특별자치도 광역 교통약자,09:00,18:00,07:00,22:00,양양군 전역,강원특별자치도 및 서울(병원 이용 시),장애정도가 심한장애인+ 장애정도가 심하지 않은장애인(의사진단서)+만65세이상노약자(의사진단서첨부)+교통약자를 동반하는 가족 및 보호자,기본요금 1100원(4km) 이후 1km당 100원,강원특별자치도 양양군 전략교통과,033-670-2256,2024-11-26,Y,N
가평군교통약자이동지원센터,경기도 가평군 가평읍 문화로 153,경기도 가평군 가평읍 대곡리 318,37.826315,127.507862,031-8078-8122,,00:00,23:59,00:00,23:59,가평 전지역,경기도+서울+인천,"「장애인복지법 시행규칙」 제28조 제1항에 따른 보행상의 장애인으로서 버스, 지하철 등의 이용 어려운 사람+대중교통을 이용하기 어렵다는 보행장애가 명시된 의학적 진단서(종합병원 이상 발급)을 제출한 일시적 휠체어 이용자",기본요금: 1500원(10km 이내)+추가요금(10km 초과 5km당 100원 추가),경기도 가평군청,031-580-2291,2026-01-14,Y,N
강릉시교통약자이동지원센터,강원특별자치도 강릉시 원대로26번길 31,강원특별자치도 강릉시 교동 934-1,37.758547,128.8846696,1577-2014,강원 교통약자 광역이동지원센터,09:00,16:00,00:00,23:59,강릉시 전지역,강원특별자치도 전지역+서울특별시,중증보행장애인+휠체어 이용자+교통약자를 동반하는 가족 및 보호자,"기본 4㎞ 이내 기본요금 1100원 외 1Km당 100원 추가+시설이용료(통행료,주차료등)와 대기료(1시간 무료,30분당 2000원, 최대 4시간 대기가능)은 이용자 추가 부담",(사)한국지체장애인협회 강릉시지회,033-644-9331,2026-02-25,Y,N
강원특별자치도 교통약자 광역이동지원센터,강원특별자치도 춘천시 봉의동 중앙로1,강원특별자치도 춘천시 봉의동 15,37.88007292,127.7279078,1577-2014,강원특별자치도 광역 교통약자,00:00,23:59,00:00,23:59,원주시 전지역,서울 대학병원 및 종합병원+경기 대학병원 및 종합병원+강원특별자치도 전역+원주시 인접 시군(제천+충주+여주+영월+양평+횡성),중증보행장애인+65세 이상 휠체어 이용자+일시적 휠체어 이용자,"관내(4km까지 1,100원 추가 1km당 100원, 최대 3,400원) +관외(시외버스요금의 2배(유료도로 통행료: 이용자 부담)",원주시시설관리공단 교통사업부 특별교통수단팀,033-749-4811,2025-11-25,Y,N
고성군교통약자이동지원센터,강원특별자치도 고성군 간성읍 간성로30번길 6-1,강원특별자치도 고성군 간성읍 신안리 155,38.37946907,128.4729678,1577-2014,강원교통약자이동지원센터,09:00,18:00,09:00,22:00,고성군 전지역,"도내 전지역, 서울특별시, 경기도",보행상중증장애인+노약자+임산부+국가유공자,4km당 1100원 1km 초과시 100원(통행료 및 주차료 이용자부담),강원특별자치도 고성군청,033-680-3747,2025-12-23,Y,N
고양시 교통약자이동지원센터,경기도 고양시 일산동구 강송로 14,경기도 고양시 일산동구 백석동 1233,37.64247907,126.7953758,1666-0420,,07:00,22:00,00:00,23:59,관내 전지역,서울시+인천시+경기도 전지역,① 장애인 1·2급 중 보행상 장애 표준 기준표상의 1·2급 해당자+② 버스·지하철 이용이 어려운 만 65세 이상 노인장기요양등급 1·2급 수급자+③ 교통약자를 동반하는 가족 및 보호자+④ 사고·질병 등 일시적 장애로 휠체어 이용이 불가피하다는 해당 전문의의 진단서를 제출한 사람은 장애등급 발급 기간 동안 3개월 내 한시적 이용 가능,기본 10km 1500원+추가 5km당 100원,고양도시관리공사,031-932-0661,2025-03-28,Y,N
광주희망콜,경기도 광주시 청석로 73,경기도 광주시 양벌동 38-1,37.39518533,127.2582841,1666-6636,광주시 교통약자,00:00,23:59,00:00,23:59,광주시 전지역,광역(서울시+인천시+경기도),중증보행장애인 + 휠체어 이용자 + 65세이상 노인.임산부 등 대중교통이 어려운 사람,"10km이내 1500원 + 추가 5km당 100원 + 기타(통행료,주차비 등)",경기도 광주시청,031-760-2076,2026-01-28,Y,N
교통약자이동지원센터,경기도 포천시 군내면 청성로 112,경기도 포천시 군내면 하성북리 618번지,37.89623177,127.211078,1666-0420,해당없음,00:00,23:59,00:00,23:59,포천시 전지역,서울+경기도+인천,"중증 보행장애인으로서 대중교통(버스, 지하철 등)의 이용이 어려운 사람, 관련법에 의한 보행성 장애 판정을 받은 사람(장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애)","기본요금 1450원(관내, 관외 동일 적용)+초과요금(관외 100원/5km)",포천도시공사,031-540-6000,2024-11-14,Y,N
