month,sido,sigungu,degree,gender,count
202601,서울특별시,종로구,심한 장애,남자,1191
202601,서울특별시,종로구,심한 장애,여자,801
202601,서울특별시,종로구,심하지 않은 장애,남자,1990
202601,서울특별시,종로구,심하지 않은 장애,여자,1540
202601,서울특별시,중구,심한 장애,남자,1056
202601,서울특별시,중구,심한 장애,여자,697
202601,서울특별시,중구,심하지 않은 장애,남자,1828
202601,서울특별시,중구,심하지 않은 장애,여자,1498
202601,서울특별시,용산구,심한 장애,남자,1455
202601,서울특별시,용산구,심한 장애,여자,911
202601,서울특별시,용산구,심하지 않은 장애,남자,2479
202601,서울특별시,용산구,심하지 않은 장애,여자,1809
202601,서울특별시,성동구,심한 장애,남자,2192
202601,서울특별시,성동구,심한 장애,여자,1429
202601,서울특별시,성동구,심하지 않은 장애,남자,3917
202601,서울특별시,성동구,심하지 않은 장애,여자,3038
202601,서울특별시,광진구,심한 장애,남자,2441
202601,서울특별시,광진구,심한 장애,여자,1630
202601,서울특별시,광진구,심하지 않은 장애,남자,4455
202601,서울특별시,광진구,심하지 않은 장애,여자,3403
202601,서울특별시,동대문구,심한 장애,남자,3058
202601,서울특별시,동대문구,심한 장애,여자,1994
202601,서울특별시,동대문구,심하지 않은 장애,남자,5603
202601,서울특별시,동대문구,심하지 않은 장애,여자,4386
202601,서울특별시,중랑구,심한 장애,남자,4386
202601,서울특별시,중랑구,심한 장애,여자,2942
202601,서울특별시,중랑구,심하지 않은 장애,남자,7190
202601,서울특별시,중랑구,심하지 않은 장애,여자,5463
202601,서울특별시,성북구,심한 장애,남자,3470
202601,서울특별시,성북구,심한 장애,여자,2347
202601,서울특별시,성북구,심하지 않은 장애,남자,6118
202601,서울특별시,성북구,심하지 않은 장애,여자,4891
202601,서울특별시,강북구,심한 장애,남자,3577
202601,서울특별시,강북구,심한 장애,여자,2569
202601,서울특별시,강북구,심하지 않은 장애,남자,5736
202601,서울특별시,강북구,심하지 않은 장애,여자,4704
202601,서울특별시,도봉구,심한 장애,남자,3184
202601,서울특별시,도봉구,심한 장애,여자,2140
202601,서울특별시,도봉구,심하지 않은 장애,남자,5540
202601,서울특별시,도봉구,심하지 않은 장애,여자,4238
202601,서울특별시,노원구,심한 장애,남자,6235
202601,서울특별시,노원구,심한 장애,여자,4596
202601,서울특별시,노원구,심하지 않은 장애,남자,7676
202601,서울특별시,노원구,심하지 않은 장애,여자,6772
202601,서울특별시,은평구,심한 장애,남자,4973
202601,서울특별시,은평구,심한 장애,여자,3033
202601,서울특별시,은평구,심하지 않은 장애,남자,7266
202601,서울특별시,은평구,심하지 않은 장애,여자,5804
202601,서울특별시,서대문구,심한 장애,남자,2422
202601,서울특별시,서대문구,심한 장애,여자,1703
202601,서울특별시,서대문구,심하지 않은 장애,남자,4153
202601,서울특별시,서대문구,심하지 않은 장애,여자,3427
202601,서울특별시,마포구,심한 장애,남자,2687
202601,서울특별시,마포구,심한 장애,여자,1910
202601,서울특별시,마포구,심하지 않은 장애,남자,4147
202601,서울특별시,마포구,심하지 않은 장애,여자,3398
202601,서울특별시,양천구,심한 장애,남자,3600
202601,서울특별시,양천구,심한 장애,여자,2374
202601,서울특별시,양천구,심하지 않은 장애,남자,6688
202601,서울특별시,양천구,심하지 않은 장애,여자,5012
202601,서울특별시,강서구,심한 장애,남자,6657
202601,서울특별시,강서구,심한 장애,여자,4524
202601,서울특별시,강서구,심하지 않은 장애,남자,9255
202601,서울특별시,강서구,심하지 않은 장애,여자,7124
202601,서울특별시,구로구,심한 장애,남자,3908
202601,서울특별시,구로구,심한 장애,여자,2583
202601,서울특별시,구로구,심하지 않은 장애,남자,7530
202601,서울특별시,구로구,심하지 않은 장애,여자,5574
202601,서울특별시,금천구,심한 장애,남자,2454
202601,서울특별시,금천구,심한 장애,여자,1623
202601,서울특별시,금천구,심하지 않은 장애,남자,4785
