hotspot_fid,hotspot_id,source_year,legal_dong_code,site_code,district,place_name,display_name,accidents,casualties,deaths,serious_injuries,minor_injuries,reported_injuries,center_lng,center_lat,risk_score,risk_score_norm,risk_percentile,risk_level,risk_level_ko
6778887,2022040,2022,1111017100,11110001,서울특별시 종로구1,서울특별시 종로구 명륜2가(성균관대입구교차로 부근),서울 종로구 명륜2가(성균관대입구교차로 부근),9,10,1,9,0,0,126.998779663951,37.582939742576,55.0,0.2667,0.9007,high,고위험
6779548,2022040,2022,1111013700,11110002,서울특별시 종로구2,서울특별시 종로구 낙원동(낙원상가 부근),서울 종로구 낙원동(낙원상가 부근),8,8,0,8,0,0,126.988435365001,37.571898949278,40.0,0.0667,0.5282,medium,주의
6779517,2022040,2022,1111011900,11110003,서울특별시 종로구3,서울특별시 종로구 세종로(세종로180 부근),서울 종로구 세종로(세종로180 부근),7,8,0,8,0,0,126.976898868989,37.569865431945,39.0,0.0533,0.432,medium,주의
6779511,2022040,2022,1111017500,11110004,서울특별시 종로구4,서울특별시 종로구 숭인동(신설동역6번출구 부근),서울 종로구 숭인동(신설동역6번출구 부근),7,8,0,7,1,0,127.02374655536,37.575111266473,36.0,0.0133,0.3785,low,관심
6779131,2022040,2022,1111013800,11110005,서울특별시 종로구5,서울특별시 종로구 종로2가(종로2가교차로 부근),서울 종로구 종로2가(종로2가교차로 부근),7,8,0,7,0,1,126.987315332238,37.5700913983,35.5,0.0067,0.3276,low,관심
6779066,2022040,2022,1111017500,11110006,서울특별시 종로구6,서울특별시 종로구 숭인동(신설동역11번출구 부근),서울 종로구 숭인동(신설동역11번출구 부근),7,7,0,7,0,0,127.021486279369,37.574381048448,35.0,0.0,0.3196,low,관심
6778909,2022040,2022,1114017400,11140001,서울특별시 중구1,서울특별시 중구 만리동2가(용산구마포구 부근),서울 중구 만리동2가(용산구마포구 부근),9,9,1,8,0,0,126.962535521398,37.551593702688,51.0,0.2133,0.8629,high,고위험
6778923,2022040,2022,1114011800,11140002,서울특별시 중구2,서울특별시 중구 남대문로5가(서울역91번출구 부근),서울 중구 남대문로5가(서울역91번출구 부근),8,10,0,9,0,1,126.972473679318,37.555063645971,44.5,0.1267,0.6784,medium,주의
6779094,2022040,2022,1114016200,11140003,서울특별시 중구3,서울특별시 중구 신당동(약수역앞교차로 부근),서울 중구 신당동(약수역앞교차로 부근),8,9,0,9,0,0,127.01051584723,37.554866948052,44.0,0.12,0.6779,medium,주의
6779002,2022040,2022,1114016500,11140004,서울특별시 중구4,서울특별시 중구 황학동(신당역서울6호선 부근),서울 중구 황학동(신당역서울6호선 부근),8,8,0,8,0,0,127.018144728697,37.565714518411,40.0,0.0667,0.5282,medium,주의
6778973,2022040,2022,1114016200,11140005,서울특별시 중구5,서울특별시 중구 신당동(기업은행성동지점 부근),서울 중구 신당동(기업은행성동지점 부근),8,8,0,8,0,0,127.021996859568,37.565369639198,40.0,0.0667,0.5282,medium,주의
6779277,2022040,2022,1114015100,11140006,서울특별시 중구6,서울특별시 중구 을지로5가(중부시장앞 부근),서울 중구 을지로5가(중부시장앞 부근),7,8,1,6,1,0,127.00092775941,37.56654433995,42.0,0.0933,0.6542,medium,주의
6779561,2022040,2022,1114011800,11140007,서울특별시 중구7,서울특별시 중구 남대문로5가(연세봉래빌딩 부근),서울 중구 남대문로5가(연세봉래빌딩 부근),7,10,0,8,1,1,126.972899867136,37.558851211815,40.5,0.0733,0.5323,medium,주의
6779166,2022040,2022,1114010400,11140008,서울특별시 중구8,서울특별시 중구 을지로1가(을지로1가 부근),서울 중구 을지로1가(을지로1가 부근),7,8,0,8,0,0,126.982810813369,37.566466362434,39.0,0.0533,0.432,medium,주의
6779300,2022040,2022,1114016200,11140009,서울특별시 중구9,서울특별시 중구 신당동(약수역서울3호선 부근),서울 중구 신당동(약수역서울3호선 부근),7,9,0,7,2,0,127.010754058754,37.553065235473,37.0,0.0267,0.3891,low,관심
6779125,2022040,2022,1117013000,11170001,서울특별시 용산구1,서울특별시 용산구 이태원동(이태원소방파출소 부근),서울 용산구 이태원동(이태원소방파출소 부근),8,8,0,8,0,0,126.995256175933,37.534432173007,40.0,0.0667,0.5282,medium,주의
6778963,2022040,2022,1117013100,11170002,서울특별시 용산구2,서울특별시 용산구 한남동(순천향병원 부근),서울 용산구 한남동(순천향병원 부근),7,8,0,8,0,0,127.006582749495,37.533218146701,39.0,0.0533,0.432,medium,주의
6779073,2022040,2022,1120011500,11200001,서울특별시 성동구1,서울특별시 성동구 성수동2가(성수역앞교차로 부근),서울 성동구 성수동2가(성수역앞교차로 부근),7,10,0,8,2,0,127.057224063141,37.544235122354,41.0,0.08,0.6361,medium,주의
6779206,2022040,2022,1121510700,11215001,서울특별시 광진구1,서울특별시 광진구 화양동(성수사거리 부근),서울 광진구 화양동(성수사거리 부근),7,7,1,6,0,0,127.064028562169,37.542097192832,41.0,0.08,0.6361,medium,주의
6779214,2022040,2022,1121510500,11215002,서울특별시 광진구2,서울특별시 광진구 자양동(건대입구역앞교차로 부근),서울 광진구 자양동(건대입구역앞교차로 부근),7,7,1,6,0,0,127.069922998549,37.540676642614,41.0,0.08,0.6361,medium,주의
6778866,2022040,2022,1123010700,11230001,서울특별시 동대문구1,서울특별시 동대문구 청량리동(청량리역 부근),서울 동대문구 청량리동(청량리역 부근),12,14,1,13,0,0,127.045683175739,37.580605813908,74.0,0.52,0.9829,high,고위험
6778943,2022040,2022,1123010300,11230002,서울특별시 동대문구2,서울특별시 동대문구 제기동(우리은행청량리중앙지 부근),서울 동대문구 제기동(우리은행청량리중앙지 부근),10,10,0,10,0,0,127.041160795435,37.579326435667,50.0,0.2,0.8407,high,고위험
6778933,2022040,2022,1123010200,11230003,서울특별시 동대문구3,서울특별시 동대문구 용두동(경동시장앞교차로 부근),서울 동대문구 용두동(경동시장앞교차로 부근),9,9,0,9,0,0,127.038224059294,37.578053099072,45.0,0.1333,0.7283,medium,주의
6778914,2022040,2022,1123010300,11230004,서울특별시 동대문구4,서울특별시 동대문구 제기동(경동시장앞교차로 부근),서울 동대문구 제기동(경동시장앞교차로 부근),8,10,1,8,1,0,127.038439429837,37.579856634577,51.0,0.2133,0.8629,high,고위험
6778989,2022040,2022,1123010900,11230005,서울특별시 동대문구5,서울특별시 동대문구 휘경동(위생병원앞교차로 부근),서울 동대문구 휘경동(위생병원앞교차로 부근),8,8,1,7,0,0,127.062389798651,37.590042937932,46.0,0.1467,0.7722,medium,주의
6779579,2022040,2022,1123010600,11230006,서울특별시 동대문구6,서울특별시 동대문구 장안동(장안APT 부근),서울 동대문구 장안동(장안APT 부근),7,7,1,6,0,0,127.074497769757,37.572240520784,41.0,0.08,0.6361,medium,주의
6779580,2022040,2022,1123010200,11230007,서울특별시 동대문구7,서울특별시 동대문구 용두동(용신동주민센터 부근),서울 동대문구 용두동(용신동주민센터 부근),7,7,1,6,0,0,127.037329219469,37.576246899776,41.0,0.08,0.6361,medium,주의
6779301,2022040,2022,1123010600,11230008,서울특별시 동대문구8,서울특별시 동대문구 장안동(장안동우리은행 부근),서울 동대문구 장안동(장안동우리은행 부근),7,9,0,8,1,0,127.067287899518,37.565724598013,40.0,0.0667,0.5282,medium,주의
6779549,2022040,2022,1123010700,11230009,서울특별시 동대문구9,서울특별시 동대문구 청량리동(영휘원사거리 부근),서울 동대문구 청량리동(영휘원사거리 부근),7,9,0,8,0,1,127.042249158573,37.586541433841,39.5,0.06,0.433,medium,주의
6779138,2022040,2022,1123010900,11230010,서울특별시 동대문구10,서울특별시 동대문구 휘경동(중랑교사거리 부근),서울 동대문구 휘경동(중랑교사거리 부근),7,9,0,7,2,0,127.067138692997,37.591502603264,37.0,0.0267,0.3891,low,관심
6779257,2022040,2022,1123010400,11230011,서울특별시 동대문구11,서울특별시 동대문구 전농동(전농동29568 부근),서울 동대문구 전농동(전농동29568 부근),7,7,0,7,0,0,127.058155951437,37.578129386763,35.0,0.0,0.3196,low,관심
6779542,2022040,2022,1123010200,11230012,서울특별시 동대문구12,서울특별시 동대문구 용두동(서울시설공단 부근),서울 동대문구 용두동(서울시설공단 부근),7,7,0,7,0,0,127.038026516911,37.573365319055,35.0,0.0,0.3196,low,관심
6779063,2022040,2022,1123010600,11230013,서울특별시 동대문구13,서울특별시 동대문구 장안동(장안동46914 부근),서울 동대문구 장안동(장안동46914 부근),7,7,0,7,0,0,127.071330123687,37.571688251612,35.0,0.0,0.3196,low,관심
6779113,2022040,2022,1123010300,11230014,서울특별시 동대문구14,서울특별시 동대문구 제기동(용두교 부근),서울 동대문구 제기동(용두교 부근),7,7,0,7,0,0,127.03391946871,37.57821645013,35.0,0.0,0.3196,low,관심
6779512,2022040,2022,1123010300,11230015,서울특별시 동대문구15,서울특별시 동대문구 제기동(식당재료유통할인 부근),서울 동대문구 제기동(식당재료유통할인 부근),7,7,0,7,0,0,127.040008320529,37.582566799119,35.0,0.0,0.3196,low,관심
6779507,2022040,2022,1123010500,11230016,서울특별시 동대문구16,서울특별시 동대문구 답십리동(신답고가차도남측 부근),서울 동대문구 답십리동(신답고가차도남측 부근),7,7,0,7,0,0,127.050049712525,37.570166902681,35.0,0.0,0.3196,low,관심
6779095,2022040,2022,1123010900,11230017,서울특별시 동대문구17,서울특별시 동대문구 휘경동(백합빌딩 부근),서울 동대문구 휘경동(백합빌딩 부근),7,7,0,7,0,0,127.058769489621,37.589308383376,35.0,0.0,0.3196,low,관심
6779070,2022040,2022,1126010100,11260001,서울특별시 중랑구1,서울특별시 중랑구 면목동(면남초등교입구 부근),서울 중랑구 면목동(면남초등교입구 부근),8,9,0,8,1,0,127.086916447637,37.579134880971,41.0,0.08,0.6361,medium,주의
