epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2317,1.68268,4.37808,1.50612,0.47415,0.44466,0.4179,0.27159,2.23601,2.59973,1.59172,3.85506e-05,3.85506e-05,3.85506e-05
2,125.491,1.56857,2.03825,1.36627,0.56089,0.56495,0.54416,0.35786,1.98123,1.75123,1.41773,7.70078e-05,7.70078e-05,7.70078e-05
3,186.615,1.30522,1.44884,1.24949,0.63513,0.57101,0.59593,0.39142,1.88613,1.58992,1.34054,0.00011463,0.00011463,0.00011463
4,247.326,1.22942,1.31499,1.19654,0.6895,0.55956,0.62188,0.43511,1.74309,1.46233,1.25273,0.00011319,0.00011319,0.00011319
5,308.018,1.1819,1.23275,1.16564,0.72671,0.60414,0.65781,0.46224,1.67537,1.36473,1.18943,0.000111036,0.000111036,0.000111036
6,368.772,1.14411,1.17118,1.14174,0.71688,0.59211,0.65886,0.46608,1.63999,1.35006,1.17128,0.000108307,0.000108307,0.000108307
7,429.408,1.10533,1.12763,1.1235,0.75057,0.62533,0.68621,0.4971,1.59402,1.26522,1.13625,0.000105034,0.000105034,0.000105034
8,490.19,1.10605,1.10503,1.11202,0.72592,0.6423,0.68883,0.49084,1.62558,1.23757,1.14712,0.000101251,0.000101251,0.000101251
9,551.307,1.0789,1.06816,1.09972,0.76065,0.63306,0.70096,0.50762,1.59624,1.21884,1.12559,9.70015e-05,9.70015e-05,9.70015e-05
10,612.025,1.05787,1.0364,1.09057,0.78148,0.64265,0.71215,0.52301,1.53009,1.18687,1.09833,9.23306e-05,9.23306e-05,9.23306e-05
11,672.52,1.0373,1.00729,1.07935,0.76381,0.64573,0.71919,0.52957,1.50459,1.15352,1.09661,8.729e-05,8.729e-05,8.729e-05
12,733.148,1.03709,1.00174,1.07545,0.77995,0.642,0.71891,0.52824,1.51165,1.12792,1.0853,8.19348e-05,8.19348e-05,8.19348e-05
13,793.763,1.02696,0.9823,1.07078,0.81151,0.66193,0.73193,0.54893,1.46601,1.09118,1.06818,7.63238e-05,7.63238e-05,7.63238e-05
14,854.533,1.00302,0.95732,1.06168,0.76113,0.65218,0.72568,0.53949,1.50276,1.13179,1.07731,7.05183e-05,7.05183e-05,7.05183e-05
15,915.498,0.99758,0.94797,1.05781,0.7806,0.6672,0.73666,0.55803,1.46381,1.06458,1.05852,6.4582e-05,6.4582e-05,6.4582e-05
16,976.116,0.98693,0.9288,1.052,0.78208,0.6621,0.73358,0.5538,1.49265,1.0878,1.07131,5.858e-05,5.858e-05,5.858e-05
17,1036.64,0.9814,0.92069,1.05031,0.80423,0.68165,0.75099,0.57365,1.39999,1.02646,1.04374,5.2578e-05,5.2578e-05,5.2578e-05
18,1097.23,0.96528,0.9042,1.04913,0.80202,0.68584,0.75349,0.57497,1.39631,1.00479,1.0359,4.66417e-05,4.66417e-05,4.66417e-05
19,1157.84,0.94958,0.89575,1.04079,0.81041,0.68818,0.7565,0.57509,1.39837,1.01472,1.03121,4.08362e-05,4.08362e-05,4.08362e-05
20,1218.68,0.95627,0.88698,1.03513,0.82265,0.68248,0.75587,0.58464,1.37572,1.00307,1.02965,3.52252e-05,3.52252e-05,3.52252e-05
21,1291.05,1.01839,0.83151,1.05482,0.82342,0.67972,0.76032,0.58718,1.36379,1.00564,1.01624,2.987e-05,2.987e-05,2.987e-05
22,1351.39,0.98876,0.78712,1.04257,0.82256,0.6941,0.7672,0.59442,1.34518,0.98634,1.01101,2.48294e-05,2.48294e-05,2.48294e-05
23,1411.83,0.97387,0.77092,1.03728,0.81828,0.69983,0.7722,0.59883,1.34058,0.97128,1.00797,2.01585e-05,2.01585e-05,2.01585e-05
24,1472.23,0.964,0.76295,1.03433,0.81724,0.7089,0.77205,0.59927,1.33103,0.96778,1.00237,1.59086e-05,1.59086e-05,1.59086e-05
25,1532.69,0.95772,0.75181,1.03036,0.81786,0.70918,0.77543,0.60255,1.32135,0.95013,1.00155,1.21262e-05,1.21262e-05,1.21262e-05
26,1593.64,0.94556,0.73969,1.0279,0.82783,0.7108,0.77531,0.60446,1.31088,0.94811,0.9986,8.85282e-06,8.85282e-06,8.85282e-06
27,1654.48,0.93736,0.74032,1.02531,0.82759,0.7059,0.77426,0.60662,1.31466,0.95293,0.99699,6.12422e-06,6.12422e-06,6.12422e-06
28,1715.02,0.93956,0.73304,1.02104,0.81736,0.71428,0.77832,0.60928,1.31006,0.93993,0.99587,3.97033e-06,3.97033e-06,3.97033e-06
29,1775.34,0.94105,0.7351,1.02167,0.81951,0.71253,0.77805,0.6092,1.3077,0.93967,0.99402,2.41476e-06,2.41476e-06,2.41476e-06
30,1835.66,0.93135,0.72972,1.02258,0.82309,0.70994,0.77746,0.60884,1.30531,0.94058,0.9946,1.47455e-06,1.47455e-06,1.47455e-06
